order_id,customer_id,order_ts,amount,status
1001,C001,2025-11-03 09:14:00,120.50,shipped
1002,C002,2025-11-27 16:02:00,89.99,shipped
1003,C001,2025-12-14 11:45:00,245.00,returned
1004,C003,2025-12-29 08:30:00,15.75,shipped
1005,C004,2025-12-31 23:59:00,310.20,cancelled
1006,C002,2026-01-04 10:05:00,72.40,shipped
1007,C005,2026-01-19 14:22:00,199.99,shipped
1008,C001,2026-02-02 07:48:00,54.00,pending
1009,C003,2026-02-18 19:33:00,430.15,shipped
1010,C006,2026-03-07 12:00:00,27.60,pending
1011,C004,2026-03-22 15:41:00,88.88,shipped
1012,C005,2026-04-01 06:15:00,610.00,pending
